instant;dteday;season;yr;mnth;holiday;weekday;workingday;weathersit;temp;atemp;hum;windspeed;leaflets;price reduction;casual;registered;cnt
154;03.06.2011;2.0;0;6;0;5;1;1;24.8;0.5161039899498162;53.12505;0.253121;991;0;898;4414;5312
685;15.11.2012;4.0;1;11;0;4;1;2;12.8667;0.40225495488138086;93.06255;0.1529869999999999;601;0;320;5125;5445
368;03.01.2012;1.0;1;1;0;2;1;1;6.0;0.980338030551025;66.1875;0.365671;549;0;89;2147;2236
472;16.04.2012;2.0;1;4;1;1;0;1;26.5667;0.5820998691915936;84.25005;0.284829;740;0;1198;5172;6370
442;17.03.2012;1.0;1;3;0;0;0;2;20.5667;0.21658964599465758;113.37495;0.110704;773;1;3155;4681;7836
257;14.09.2011;3.0;0;9;0;3;1;1;26.9333;0.6423383911986207;104.56245;0.1673;761;0;647;4138;4785
413;17.02.2012;1.0;1;2;0;5;1;1;13.7333;0.36916021556332274;93.84519991166079;0.205846;877;1;349;3805;4154
643;04.10.2012;4.0;1;10;0;4;1;2;26.3;0.5986570493342248;108.43755;0.117546;479;0;891;6437;7328
274;01.10.2011;1.0;0;10;0;6;0;2;16.4;0.09741644159325694;113.0625;0.292296;628;0;480;1949;2429
129;09.05.2011;2.0;0;5;0;1;1;1;21.3;0.3996315297668136;88.3125;0.176;838;0;664;3698;4362
175;24.06.2011;3.0;0;6;0;5;1;1;28.9667;0.71994674848231;85.99995;0.222025;779;0;969;4022;4991
213;01.08.2011;3.0;0;8;0;1;1;1;30.8667;0.9138168242503933;93.84519991166079;0.156717;533;0;729;3537;4266
533;16.06.2012;2.0;1;6;0;6;0;1;25.2667;0.5265223292161489;75.62505;0.166667;932;0;2963;4739;7702
590;12.08.2012;3.0;1;8;0;0;0;1;28.0333;0.6422882938004794;79.56255;0.122512;513;0;2182;4362;6544
221;09.08.2011;3.0;0;8;0;2;1;1;31.0;0.8585245529718334;85.56255;0.151121;464;0;907;3695;4602
269;26.09.2011;1.0;0;9;0;1;1;2;25.9667;0.5853049574991979;127.24995;0.1107;495;1;684;3946;4630
417;21.02.2012;1.0;1;2;0;2;1;1;11.513;0.49696420780205314;89.1522;0.205717;587;0;163;3614;3777
30;30.01.2011;1.0;0;1;0;0;0;1;8.6609;0.3259697002622302;108.3261;0.0739826;548;0;140;956;1096
565;18.07.2012;3.0;1;7;0;3;1;1;31.7333;0.9242242637045298;86.56245;0.137442;977;0;799;4914;5713
594;16.08.2012;3.0;1;8;0;4;1;1;28.7667;0.6735254419096864;77.87505;0.141796;755;0;1338;6267;7605
135;15.05.2011;2.0;0;5;0;0;0;2;22.5;0.22064180791379231;130.06245;0.152979;1024;0;1582;2971;4553
425;29.02.2012;1.0;1;2;0;3;1;2;13.7739;0.0;120.71745;0.179117;629;0;65;1769;1834
227;15.08.2011;3.0;0;8;0;1;1;1;26.6333;0.6230610790236072;106.81245;0.208954;815;0;775;3563;4338
502;16.05.2012;2.0;1;5;0;3;1;1;25.4667;0.5342085477489762;104.68755;0.122512;588;0;991;6433;7424
524;07.06.2012;2.0;1;6;0;4;1;1;24.1;0.4690349959673974;93.84519991166079;0.15735;537;0;1038;6456;7494
188;07.07.2011;3.0;0;7;0;4;1;1;30.0;0.840105477937297;93.84519991166079;0.1592;723;0;754;3838;4592
9;09.01.2011;1.0;0;1;0;0;0;1;5.5333;1.0;65.12505;0.36195;836;0;54;768;822
378;13.01.2012;1.0;1;1;0;5;1;1;10.9667;0.6424105491630864;76.125;0.378108;911;0;174;3040;3214
722;22.12.2012;1.0;1;12;0;6;0;1;10.6333;0.7104595454062634;66.1875;0.407346;572;0;205;1544;1749
4;04.01.2011;1.0;0;1;0;2;1;1;8.0;0.6866916092881189;88.56525;0.160296;734;0;108;1454;1562
557;10.07.2012;1.0;1;7;0;2;1;2;28.8333;0.7810610666099731;100.125;0.1517369999999999;516;1;954;5336;6290
144;24.05.2011;2.0;0;5;0;2;1;2;26.4;0.6107307878975291;111.12495;0.207092;829;0;659;3833;4492
481;25.04.2012;2.0;1;4;0;3;1;1;19.0667;0.4862016799912;64.18755;0.118792;636;0;655;5541;6196
578;31.07.2012;3.0;1;7;0;2;1;1;28.5333;0.7833652498285428;105.62505;0.165425;864;0;968;6248;7216
564;17.07.2012;3.0;1;7;0;2;1;1;32.7333;0.9035414682173603;75.87495;0.114429;809;0;921;5865;6786
683;13.11.2012;1.0;1;11;0;2;1;2;13.7333;0.2986394056656889;99.43755;0.342046;542;0;327;3767;4094
699;29.11.2012;4.0;1;11;0;4;1;1;11.2348;0.5700340400616303;83.3478;0.115522;509;0;243;5080;5323
637;28.09.2012;4.0;1;9;0;5;1;2;24.7667;0.48934309141252597;103.5;0.164179;658;0;1045;6370;7415
548;01.07.2012;3.0;1;7;0;0;0;1;32.6333;1.0;93.84519991166079;0.1685289999999999;860;1;1421;4110;5531
261;18.09.2011;3.0;0;9;0;0;0;1;20.3;0.27894226490304735;104.25;0.178483;750;1;1353;2921;4274
626;17.09.2012;3.0;1;9;0;1;1;2;23.2333;0.3784535842571873;110.18745;0.151742;848;0;1022;5847;6869
681;11.11.2012;4.0;1;11;0;0;0;1;16.8333;0.27478331311855836;98.87505;0.1275;783;0;2290;4562;6852
